connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
angle_rib_2_seam_right_rib_1,bolt,angle_rib_2_seam_right + rib_2_seam_right,93.75,665.7611453025492,1197.1195871905609,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_seam_right_rib_2,bolt,angle_rib_2_seam_right + rib_2_seam_right,93.75,710.7562779806069,1250.7426982088894,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_seam_right_beam_1,bolt,rear_cross_2 + angle_rib_2_seam_right,123.75,623.087480643231,1278.6162985938074,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_seam_right_beam_2,bolt,rear_cross_2 + angle_rib_2_seam_right,151.75,623.087480643231,1278.6162985938074,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_2_mid_left_front,screw,panel_seam_horizontal + rib_2_mid_left,-519.2,751.8978537536871,1170.5315620250158,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_mid_left_rib_1,bolt,angle_rib_2_mid_left + rib_2_mid_left,-558.95,665.7611453025492,1197.1195871905609,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_mid_left_rib_2,bolt,angle_rib_2_mid_left + rib_2_mid_left,-558.95,710.7562779806069,1250.7426982088894,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_mid_left_beam_1,bolt,rear_cross_2 + angle_rib_2_mid_left,-588.95,623.087480643231,1278.6162985938074,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_mid_left_beam_2,bolt,rear_cross_2 + angle_rib_2_mid_left,-616.95,623.087480643231,1278.6162985938074,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_2_mid_right_front,screw,panel_seam_horizontal + rib_2_mid_right,680.8,751.8978537536871,1170.5315620250158,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
