connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
angle_rib_3_mid_left_beam_2,bolt,rear_cross_3 + angle_rib_3_mid_left,-604.25,1086.0609885760364,1909.3974103531816,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
rib_3_mid_right_front,screw,mid_upper_right + rib_3_mid_right,680.8,1235.788366325714,1747.2098188049824,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_mid_right_rib_1,bolt,angle_rib_3_mid_right + rib_3_mid_right,707.8499999999999,1191.5580173853762,1854.815481911605,-1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_mid_right_rib_2,bolt,angle_rib_3_mid_right + rib_3_mid_right,707.8499999999999,1218.3695728945404,1832.317915572576,-1.0,0.0,0.0,63.5,2.5,9.525,44.1,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_mid_right_beam_1,bolt,rear_cross_3 + angle_rib_3_mid_right,737.8499999999999,1086.0609885760364,1909.3974103531816,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
angle_rib_3_mid_right_beam_2,bolt,rear_cross_3 + angle_rib_3_mid_right,765.8499999999999,1086.0609885760364,1909.3974103531816,-0.0,0.766044443118978,-0.6427876096865393,114.3,4.5,9.525,94.9,NOMINAL envelope; no rated product/capacity selected
mid_end_lower_left_bottom,screw,panel_edge_bottom + mid_lower_left,-537.2,-46.381946617558135,248.81528093888627,0.0,0.6427876096865427,0.7660444431189752,138.9,5.468503937007875,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
mid_end_lower_left_top,screw,panel_seam_horizontal + mid_lower_left,-537.2,782.2034216488754,1236.2848703414052,-0.0,-0.6427876096865427,-0.7660444431189752,189.7,7.468503937007874,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
mid_end_lower_right_bottom,screw,panel_edge_bottom + mid_lower_right,662.8,-46.381946617558135,248.81528093888627,0.0,0.6427876096865427,0.7660444431189752,138.9,5.468503937007875,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
mid_end_lower_right_top,screw,panel_seam_horizontal + mid_lower_right,662.8,782.2034216488754,1236.2848703414052,-0.0,-0.6427876096865427,-0.7660444431189752,189.7,7.468503937007874,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
mid_end_upper_left_bottom,screw,panel_seam_horizontal + mid_upper_left,-501.20000000000005,692.4059925756657,1129.2684616376837,0.0,0.6427876096865427,0.7660444431189752,189.7,7.468503937007874,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
mid_end_upper_left_top,screw,panel_edge_top + mid_upper_left,-501.20000000000005,1520.991360842099,2116.738051040202,-0.0,-0.6427876096865427,-0.7660444431189752,138.9,5.468503937007875,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
mid_end_upper_right_bottom,screw,panel_seam_horizontal + mid_upper_right,698.8,692.4059925756657,1129.2684616376837,0.0,0.6427876096865427,0.7660444431189752,189.7,7.468503937007874,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
mid_end_upper_right_top,screw,panel_edge_top + mid_upper_right,698.8,1520.991360842099,2116.738051040202,-0.0,-0.6427876096865427,-0.7660444431189752,138.9,5.468503937007875,4.826,0.0,NOMINAL envelope; no rated product/capacity selected
