feature,label,x_mm,y_mm,x_in,y_in
tnut,E5,1000.000,880.000,39.3701,34.6457
tnut,E6,1000.000,1080.000,39.3701,42.5197
tnut,E7,1000.000,1280.000,39.3701,50.3937
tnut,E8,1000.000,1480.000,39.3701,58.2677
tnut,E9,1000.000,1680.000,39.3701,66.1417
tnut,E10,1000.000,1880.000,39.3701,74.0157
tnut,E11,1000.000,2080.000,39.3701,81.8898
tnut,E12,1000.000,2280.000,39.3701,89.7638
tnut,F1,1200.000,80.000,47.2441,3.1496
tnut,F2,1200.000,280.000,47.2441,11.0236
tnut,F3,1200.000,480.000,47.2441,18.8976
tnut,F4,1200.000,680.000,47.2441,26.7717
tnut,F5,1200.000,880.000,47.2441,34.6457
tnut,F6,1200.000,1080.000,47.2441,42.5197
tnut,F7,1200.000,1280.000,47.2441,50.3937
tnut,F8,1200.000,1480.000,47.2441,58.2677
tnut,F9,1200.000,1680.000,47.2441,66.1417
tnut,F10,1200.000,1880.000,47.2441,74.0157
tnut,F11,1200.000,2080.000,47.2441,81.8898
tnut,F12,1200.000,2280.000,47.2441,89.7638
tnut,G1,1400.000,80.000,55.1181,3.1496
tnut,G2,1400.000,280.000,55.1181,11.0236
tnut,G3,1400.000,480.000,55.1181,18.8976
tnut,G4,1400.000,680.000,55.1181,26.7717
tnut,G5,1400.000,880.000,55.1181,34.6457
tnut,G6,1400.000,1080.000,55.1181,42.5197
tnut,G7,1400.000,1280.000,55.1181,50.3937
tnut,G8,1400.000,1480.000,55.1181,58.2677
tnut,G9,1400.000,1680.000,55.1181,66.1417
tnut,G10,1400.000,1880.000,55.1181,74.0157
tnut,G11,1400.000,2080.000,55.1181,81.8898
tnut,G12,1400.000,2280.000,55.1181,89.7638
tnut,H1,1600.000,80.000,62.9921,3.1496
tnut,H2,1600.000,280.000,62.9921,11.0236
tnut,H3,1600.000,480.000,62.9921,18.8976
tnut,H4,1600.000,680.000,62.9921,26.7717
tnut,H5,1600.000,880.000,62.9921,34.6457
tnut,H6,1600.000,1080.000,62.9921,42.5197
tnut,H7,1600.000,1280.000,62.9921,50.3937
tnut,H8,1600.000,1480.000,62.9921,58.2677
tnut,H9,1600.000,1680.000,62.9921,66.1417
tnut,H10,1600.000,1880.000,62.9921,74.0157
tnut,H11,1600.000,2080.000,62.9921,81.8898
tnut,H12,1600.000,2280.000,62.9921,89.7638
tnut,I1,1800.000,80.000,70.8661,3.1496
tnut,I2,1800.000,280.000,70.8661,11.0236
tnut,I3,1800.000,480.000,70.8661,18.8976
tnut,I4,1800.000,680.000,70.8661,26.7717
tnut,I5,1800.000,880.000,70.8661,34.6457
tnut,I6,1800.000,1080.000,70.8661,42.5197
tnut,I7,1800.000,1280.000,70.8661,50.3937
tnut,I8,1800.000,1480.000,70.8661,58.2677
tnut,I9,1800.000,1680.000,70.8661,66.1417
tnut,I10,1800.000,1880.000,70.8661,74.0157
tnut,I11,1800.000,2080.000,70.8661,81.8898
tnut,I12,1800.000,2280.000,70.8661,89.7638
tnut,J1,2000.000,80.000,78.7402,3.1496
tnut,J2,2000.000,280.000,78.7402,11.0236
tnut,J3,2000.000,480.000,78.7402,18.8976
tnut,J4,2000.000,680.000,78.7402,26.7717
tnut,J5,2000.000,880.000,78.7402,34.6457
tnut,J6,2000.000,1080.000,78.7402,42.5197
tnut,J7,2000.000,1280.000,78.7402,50.3937
tnut,J8,2000.000,1480.000,78.7402,58.2677
tnut,J9,2000.000,1680.000,78.7402,66.1417
tnut,J10,2000.000,1880.000,78.7402,74.0157
tnut,J11,2000.000,2080.000,78.7402,81.8898
tnut,J12,2000.000,2280.000,78.7402,89.7638
