part,feature,label,x_from_left_mm,z_from_bottom_mm,diameter_mm,datum
main_lower_right,T-nut,G6,182.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,H1,382.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,H2,382.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,H3,382.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,H4,382.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,H5,382.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,H6,382.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,I1,582.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,I2,582.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,I3,582.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,I4,582.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,I5,582.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,I6,582.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,J1,782.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,J2,782.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,J3,782.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,J4,782.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,J5,782.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,J6,782.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,K1,982.000,80.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,K2,982.000,280.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,K3,982.000,480.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,K4,982.000,680.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,K5,982.000,880.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,T-nut,K6,982.000,1080.000,11.112,"finished blank lower-left, climbing face"
main_lower_right,LED,G2,182.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,G3,182.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,G4,182.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,G5,182.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,G6,182.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,G7,182.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,H2,382.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,H3,382.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,H4,382.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,H5,382.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,H6,382.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,H7,382.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,I2,582.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,I3,582.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,I4,582.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,I5,582.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,I6,582.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,I7,582.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,J2,782.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,J3,782.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,J4,782.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,J5,782.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,J6,782.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,J7,782.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,K2,982.000,180.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,K3,982.000,380.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,K4,982.000,580.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,K5,982.000,780.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,K6,982.000,980.000,13.000,"finished blank lower-left, climbing face"
main_lower_right,LED,K7,982.000,1180.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,T-nut,A7,200.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,A8,200.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,A9,200.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,A10,200.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,A11,200.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,A12,200.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,B7,400.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,B8,400.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,B9,400.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,B10,400.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,B11,400.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,B12,400.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,C7,600.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,C8,600.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,C9,600.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,C10,600.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,C11,600.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,C12,600.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,D7,800.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,D8,800.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,D9,800.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,D10,800.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,D11,800.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,D12,800.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,E7,1000.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,E8,1000.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,E9,1000.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,E10,1000.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,E11,1000.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,E12,1000.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,F7,1200.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,F8,1200.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,F9,1200.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,F10,1200.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,F11,1200.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,T-nut,F12,1200.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_left,LED,A8,200.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,A9,200.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,A10,200.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,A11,200.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,A12,200.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,B8,400.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,B9,400.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,B10,400.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,B11,400.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,B12,400.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,C8,600.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,C9,600.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,C10,600.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,C11,600.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,C12,600.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,D8,800.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,D9,800.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,D10,800.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,D11,800.000,762.000,13.000,"finished blank lower-left, climbing face"
