pair_index,set_pair,pair_id,category,master_owner,slave_owner,reports_observed,report_state,cf_force_x_n,cf_force_y_n,cf_force_z_n,cf_force_magnitude_n,cf_centroid_x_mm,cf_centroid_y_mm,cf_centroid_z_mm,cf_mean_normal_x,cf_mean_normal_y,cf_mean_normal_z,cf_area_mm2,cf_normal_force_signed_n,cf_shear_force_magnitude_n,cfn_force_x_n,cfn_force_y_n,cfn_force_z_n,cfn_centroid_xyz_mm,cfn_mean_normal_xyz,cfn_area_mm2,cfn_normal_force_signed_n,cfn_shear_force_magnitude_n,cfn_duplicate_of_cf,cfs_force_x_n,cfs_force_y_n,cfs_force_z_n,cfs_centroid_xyz_mm,cfs_mean_normal_xyz,cfs_area_mm2,cfs_normal_force_signed_n,cfs_shear_force_magnitude_n,cfs_force_zero,cf_fields_complete,complete_triplet
11,WJCP_011,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M06_A01_NUT_WASHER,3,3_of_3,2.006105e-17,-1.722867e-05,-2.053233e-05,2.6803052908163277e-05,135.3985,-23.07002,433.8564,-3.109304e-13,0.6427876,0.7660444,25.66815,-2.680306e-05,1.340112e-17,2.006105e-17,-1.722867e-05,-2.053233e-05,"[135.3985, -23.07002, 433.8564]","[-3.109304e-13, 0.6427876, 0.7660444]",25.66815,-2.680306e-05,1.340112e-17,True,0.0,0.0,0.0,"[135.3985, -23.07002, 433.8564]","[-3.109304e-13, 0.6427876, 0.7660444]",25.66815,0.0,0.0,True,True,True
12,WJCP_012,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_head,head_washer_to_head,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,M09_A02_HEAD_WASHER,3,3_of_3,-0.00186622,3.75326e-18,-3.930684e-18,0.00186622,179.982,28.01005,477.2489,1.0,-9.679363e-16,3.516077e-15,4.790229,-0.00186622,3.273068e-18,-0.00186622,3.75326e-18,-3.930684e-18,"[179.982, 28.01005, 477.2489]","[1.0, -9.679363e-16, 3.516077e-15]",4.790229,-0.00186622,3.273068e-18,True,0.0,0.0,0.0,"[179.982, 28.01005, 477.2489]","[1.0, -9.679363e-16, 3.516077e-15]",4.790229,0.0,0.0,True,True,True
13,WJCP_013,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M09_A02_HEAD_WASHER,3,3_of_3,0.001858126,8.993298e-19,6.466934e-19,0.001858126,177.95,30.21663,476.4042,-1.0,1.43866e-16,-2.83411e-16,25.65558,-0.001858126,1.172814e-18,0.001858126,8.993298e-19,6.466934e-19,"[177.95, 30.21663, 476.4042]","[-1.0, 1.43866e-16, -2.83411e-16]",25.65558,-0.001858126,1.172814e-18,True,0.0,0.0,0.0,"[177.95, 30.21663, 476.4042]","[-1.0, 1.43866e-16, -2.83411e-16]",25.65558,0.0,0.0,True,True,True
14,WJCP_014,bottom_center/clip_horizontal_bottom_right_1/principal_1/nut_washer_to_nut,nut_washer_to_nut,M11_A02_NUT,M10_A02_NUT_WASHER,3,3_of_3,0.001952292,-9.452305e-19,-1.327101e-18,0.001952292,48.918,35.38954,469.9981,-1.0,6.878377e-16,4.361126e-16,8.367122,-0.001952292,6.199855e-19,0.001952292,-9.452305e-19,-1.327101e-18,"[48.918, 35.38954, 469.9981]","[-1.0, 6.878377e-16, 4.361126e-16]",8.367122,-0.001952292,6.199855e-19,True,0.0,0.0,0.0,"[48.918, 35.38954, 469.9981]","[-1.0, 6.878377e-16, 4.361126e-16]",8.367122,0.0,0.0,True,True,True
15,WJCP_015,bottom_center/clip_horizontal_bottom_right_1/principal_1/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W02_BASE_PRINCIPAL_CENTER_RIGHT,M10_A02_NUT_WASHER,3,3_of_3,-0.001960431,2.327811e-20,-3.665115e-20,0.001960431,50.95,32.83649,472.5685,1.0,1.200122e-16,-9.746814e-17,24.17977,-0.001960431,3.445452e-19,-0.001960431,2.327811e-20,-3.665115e-20,"[50.95, 32.83649, 472.5685]","[1.0, 1.200122e-16, -9.746814e-17]",24.17977,-0.001960431,3.445452e-19,True,0.0,0.0,0.0,"[50.95, 32.83649, 472.5685]","[1.0, 1.200122e-16, -9.746814e-17]",24.17977,0.0,0.0,True,True,True
16,WJCP_016,bottom_center/clip_horizontal_bottom_right_1/principal_2/head_washer_to_head,head_washer_to_head,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,M13_A03_HEAD_WASHER,3,3_of_3,-0.001658325,4.704113e-18,-4.812192e-18,0.001658325,179.982,49.12377,502.6552,1.0,-1.704994e-15,3.865466e-15,3.846794,-0.001658325,2.464863e-18,-0.001658325,4.704113e-18,-4.812192e-18,"[179.982, 49.12377, 502.6552]","[1.0, -1.704994e-15, 3.865466e-15]",3.846794,-0.001658325,2.464863e-18,True,0.0,0.0,0.0,"[179.982, 49.12377, 502.6552]","[1.0, -1.704994e-15, 3.865466e-15]",3.846794,0.0,0.0,True,True,True
17,WJCP_017,bottom_center/clip_horizontal_bottom_right_1/principal_2/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M13_A03_HEAD_WASHER,3,3_of_3,0.001650365,1.133039e-18,1.07142e-19,0.001650365,177.95,49.90866,498.7142,-1.0,-6.294202e-16,-3.604349e-16,24.71239,-0.001650365,4.967336e-19,0.001650365,1.133039e-18,1.07142e-19,"[177.95, 49.90866, 498.7142]","[-1.0, -6.294202e-16, -3.604349e-16]",24.71239,-0.001650365,4.967336e-19,True,0.0,0.0,0.0,"[177.95, 49.90866, 498.7142]","[-1.0, -6.294202e-16, -3.604349e-16]",24.71239,-0.0,0.0,True,True,True
18,WJCP_018,bottom_center/clip_horizontal_bottom_right_1/principal_2/nut_washer_to_nut,nut_washer_to_nut,M15_A03_NUT,M14_A03_NUT_WASHER,3,3_of_3,0.001737724,1.336152e-18,-2.932207e-19,0.001737724,48.918,57.88173,495.3482,-1.0,-3.897516e-17,9.858812e-18,4.854073,-0.001737724,1.298123e-18,0.001737724,1.336152e-18,-2.932207e-19,"[48.918, 57.88173, 495.3482]","[-1.0, -3.897516e-17, 9.858812e-18]",4.854073,-0.001737724,1.298123e-18,True,0.0,0.0,0.0,"[48.918, 57.88173, 495.3482]","[-1.0, -3.897516e-17, 9.858812e-18]",4.854073,0.0,0.0,True,True,True
19,WJCP_019,bottom_center/clip_horizontal_bottom_right_1/principal_2/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W02_BASE_PRINCIPAL_CENTER_RIGHT,M14_A03_NUT_WASHER,3,3_of_3,-0.001744951,-1.253718e-19,7.469477e-20,0.001744951,50.95,55.35433,498.6073,1.0,9.307357e-17,-1.752729e-16,31.22963,-0.001744951,2.340963e-19,-0.001744951,-1.253718e-19,7.469477e-20,"[50.95, 55.35433, 498.6073]","[1.0, 9.307357e-17, -1.752729e-16]",31.22963,-0.001744951,2.340963e-19,True,0.0,0.0,0.0,"[50.95, 55.35433, 498.6073]","[1.0, 9.307357e-17, -1.752729e-16]",31.22963,0.0,0.0,True,True,True
20,WJCP_020,bottom_center/clip_horizontal_bottom_right_1/rail_1::bottom_center_right_cleat::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W00_BOTTOM_CENTER_RIGHT_CLEAT,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
21,WJCP_021,bottom_center/clip_horizontal_bottom_right_1/rail_1::base_rail_bottom_right::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W01_BASE_RAIL_BOTTOM_RIGHT,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
22,WJCP_022,bottom_center/clip_horizontal_bottom_right_1/rail_2::bottom_center_right_cleat::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W00_BOTTOM_CENTER_RIGHT_CLEAT,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
23,WJCP_023,bottom_center/clip_horizontal_bottom_right_1/rail_2::base_rail_bottom_right::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W01_BASE_RAIL_BOTTOM_RIGHT,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
24,WJCP_024,bottom_center/clip_horizontal_bottom_right_1/principal_1::bottom_center_right_cleat::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W00_BOTTOM_CENTER_RIGHT_CLEAT,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
25,WJCP_025,bottom_center/clip_horizontal_bottom_right_1/principal_1::base_principal_center_right::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W02_BASE_PRINCIPAL_CENTER_RIGHT,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
26,WJCP_026,bottom_center/clip_horizontal_bottom_right_1/principal_2::bottom_center_right_cleat::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W00_BOTTOM_CENTER_RIGHT_CLEAT,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
27,WJCP_027,bottom_center/clip_horizontal_bottom_right_1/principal_2::base_principal_center_right::shaft_to_wood_bore,open_bolt_shank_to_wood_bore,W02_BASE_PRINCIPAL_CENTER_RIGHT,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
28,WJCP_028,bottom_center/clip_horizontal_bottom_right_1/rail_1::shaft_to_head_washer_bore,open_bolt_shank_to_washer_bore,M01_A00_HEAD_WASHER,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
29,WJCP_029,bottom_center/clip_horizontal_bottom_right_1/rail_1::shaft_to_nut_washer_bore,open_bolt_shank_to_washer_bore,M02_A00_NUT_WASHER,M00_A00_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
30,WJCP_030,bottom_center/clip_horizontal_bottom_right_1/rail_2::shaft_to_head_washer_bore,open_bolt_shank_to_washer_bore,M05_A01_HEAD_WASHER,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
31,WJCP_031,bottom_center/clip_horizontal_bottom_right_1/rail_2::shaft_to_nut_washer_bore,open_bolt_shank_to_washer_bore,M06_A01_NUT_WASHER,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
32,WJCP_032,bottom_center/clip_horizontal_bottom_right_1/principal_1::shaft_to_head_washer_bore,open_bolt_shank_to_washer_bore,M09_A02_HEAD_WASHER,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
33,WJCP_033,bottom_center/clip_horizontal_bottom_right_1/principal_1::shaft_to_nut_washer_bore,open_bolt_shank_to_washer_bore,M10_A02_NUT_WASHER,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,3,3_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,0.0,0.0,0.0,"[nan, nan, nan]","[nan, nan, nan]",0.0,nan,nan,True,True,True
34,WJCP_034,bottom_center/clip_horizontal_bottom_right_1/principal_2::shaft_to_head_washer_bore,open_bolt_shank_to_washer_bore,M13_A03_HEAD_WASHER,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,1,1_of_3,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,False,False
35,WJCP_035,bottom_center/clip_horizontal_bottom_right_1/principal_2::shaft_to_nut_washer_bore,open_bolt_shank_to_washer_bore,M14_A03_NUT_WASHER,M12_A03_BOLT_HEAD_PLUS_SHAFT_UNION,0,no_report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False
