pair_index,set_pair,pair_id,category,master_owner,slave_owner,quantity,report_index,time_seconds,field_rows_complete,force_xyz_n,moment_global_origin_nmm,centroid_xyz_mm,mean_normal_xyz,moment_at_centroid_nmm,area_mm2,normal_force_signed_n,shear_force_magnitude_n,fields_present
7,WJCP_007,bottom_center/clip_horizontal_bottom_right_1/rail_1/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M02_A00_NUT_WASHER,CFS,21,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[135.0715,2.497181,412.4029]","[-7.060575e-13,0.6427876,0.7660444]","[0.0,0.0,0.0]",38.56834,0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
8,WJCP_008,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_head,head_washer_to_head,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,M05_A01_HEAD_WASHER,CF,22,0.001,True,"[-5.74594e-19,-2.670913e-05,-3.183071e-05]","[0.01239521,0.004296542,-0.003605227]","[135.6187,58.64481,533.7288]","[2.029136e-14,0.6427876,0.7660444]","[6.477544e-06,-2.02956e-05,1.703003e-05]",11.9456,-4.155203e-05,4.153276e-19,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
8,WJCP_008,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_head,head_washer_to_head,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,M05_A01_HEAD_WASHER,CFN,23,0.001,True,"[-5.74594e-19,-2.670913e-05,-3.183071e-05]","[0.01239521,0.004296542,-0.003605227]","[135.6187,58.64481,533.7288]","[2.029136e-14,0.6427876,0.7660444]","[6.477544e-06,-2.02956e-05,1.703003e-05]",11.9456,-4.155203e-05,4.153276e-19,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
8,WJCP_008,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_head,head_washer_to_head,M04_A01_BOLT_HEAD_PLUS_SHAFT_UNION,M05_A01_HEAD_WASHER,CFS,24,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[135.6187,58.64481,533.7288]","[2.029136e-14,0.6427876,0.7660444]","[0.0,0.0,0.0]",11.9456,0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
9,WJCP_009,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M05_A01_HEAD_WASHER,CF,25,0.001,True,"[-2.25858e-17,2.745864e-05,3.272393e-05]","[-0.01274076,-0.004416448,0.00370584]","[135.6753,58.60096,531.113]","[1.266943e-12,-0.6427876,-0.7660444]","[-7.477038e-05,2.338086e-05,-1.961887e-05]",23.34024,-4.271806e-05,3.55601e-17,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
9,WJCP_009,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M05_A01_HEAD_WASHER,CFN,26,0.001,True,"[-2.25858e-17,2.745864e-05,3.272393e-05]","[-0.01274076,-0.004416448,0.00370584]","[135.6753,58.60096,531.113]","[1.266943e-12,-0.6427876,-0.7660444]","[-7.477038e-05,2.338086e-05,-1.961887e-05]",23.34024,-4.271806e-05,3.55601e-17,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
9,WJCP_009,bottom_center/clip_horizontal_bottom_right_1/rail_2/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M05_A01_HEAD_WASHER,CFS,27,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[135.6753,58.60096,531.113]","[1.266943e-12,-0.6427876,-0.7660444]","[0.0,0.0,0.0]",23.34024,0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
10,WJCP_010,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_nut,nut_washer_to_nut,M07_A01_NUT,M06_A01_NUT_WASHER,CF,28,0.001,True,"[-7.919551e-19,1.805325e-05,2.151502e-05]","[-0.008323409,-0.003027231,0.002540149]","[140.6485,-24.218,432.167]","[2.273212e-14,-0.6427876,-0.7660444]","[-3.404473e-07,-1.175736e-06,9.865597e-07]",1.282465,-2.808586e-05,2.066112e-19,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
10,WJCP_010,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_nut,nut_washer_to_nut,M07_A01_NUT,M06_A01_NUT_WASHER,CFN,29,0.001,True,"[-7.919551e-19,1.805325e-05,2.151502e-05]","[-0.008323409,-0.003027231,0.002540149]","[140.6485,-24.218,432.167]","[2.273212e-14,-0.6427876,-0.7660444]","[-3.404473e-07,-1.175736e-06,9.865597e-07]",1.282465,-2.808586e-05,2.066112e-19,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
10,WJCP_010,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_nut,nut_washer_to_nut,M07_A01_NUT,M06_A01_NUT_WASHER,CFS,30,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[140.6485,-24.218,432.167]","[2.273212e-14,-0.6427876,-0.7660444]","[0.0,0.0,0.0]",1.282465,0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
